Colleges,Rating,Reviews,NIRF_Ranking,City,State,Ownership,Fees,BTech_Courses,MTech_Courses
"University College of Engineering, Osmania University, Hyderabad",3.9,9, 101-150, Hyderabad,Telangana,Public/Govt,₹4.90 Lakhs,8 ,31 
"Rajalakshmi Engineering College, Chennai",4.2,48, 101-150, Chennai,Tamil Nadu,Private,,19 ,8 
"JIIT Noida - Jaypee Institute of Information Technology, Noida",4.0,168, 101-150, Noida,Uttar Pradesh,Private,₹14.67 Lakhs,5 ,12 
NIT Manipur (NITMN) - National Institute of Technology Manipur,3.7,22, 101-150, Imphal,Manipur,Public/Govt,₹5.46 Lakhs,5 ,7 
NIT Goa - National Institute of Technology Goa,4.0,33, 101-150, Ponda,Goa,Public/Govt,₹5.31 Lakhs,5 ,3 
NIT Arunachal Pradesh - National Institute of Technology Arunachal Pradesh,3.8,10, 101-150, Papum Pare,Arunachal Pradesh,Public/Govt,₹5.36 Lakhs,9 ,6 
"KEC Erode - Kongu Engineering College, Erode",4.5,45, 101-150, Perundurai,Tamil Nadu,Private,,14 ,12 
IIITM Gwalior - Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,4.1,54, 101-150, Gwalior,Madhya Pradesh,Public/Govt,,,7 
"IGDTUW Delhi - Indira Gandhi Delhi Technical University for Women, Delhi",3.9,110, 151-200, New Delhi,Delhi,Public/Govt,,7 ,
"KIET Group of Institutions, Ghaziabad (KIET Ghaziabad) - KIET Group of Institutions, Ghaziabad",4.7,85, 151-200, Ghaziabad,Uttar Pradesh,Private,₹5.62 Lakhs,10 ,2 
"IEM Kolkata - Institute of Engineering and Management, Kolkata",3.9,175, 151-200, Kolkata,West Bengal,Private,,13 ,3 
"NIFFT Ranchi - National Institute of Advanced Manufacturing Technology, Ranchi",4.4,15, 151-200, Ranchi,Jharkhand,Public/Govt,₹4.32 Lakhs,5 ,5 
"VNR VJIET Hyderabad - VNR Vignana Jyothi Institute of Engineering and Technology, Hyderabad",4.4,184, 151-200, Hyderabad,Telangana,Private,₹5.40 Lakhs,14 ,14 
"GL Bajaj Institute of Technology and Management, Greater Noida",4.6,232, 151-200, Greater Noida,Uttar Pradesh,Private,,9 ,
"NMAM Institute of Technology, Karkala Taluk",3.9,52, 151-200, Udupi,Karnataka,Private,₹12.40 Lakhs,14 ,8 
"JSPM's Rajarshi Shahu College of Engineering Tathawade - Rajarshi Shahu College of Engineering, Tathawade",3.5,37, 151-200, Pimpri-Chinchwad,Maharashtra,Private,₹4.48 Lakhs,8 ,4 
"KLE Technological University, Hubballi",4.5,53, 151-200, Hubli,Karnataka,Private,₹1.67 Lakhs,10 ,7 
"NIFTEM Sonepat - National Institute of Food Technology Entrepreneurship and Management, Sonepat",4.1,8, 151-200, Sonipat,Haryana,Public/Govt,₹6.67 Lakhs,,5 
"NIE Mysore - The National Institute of Engineering, Mysore",4.0,48, 151-200, Mysuru,Karnataka,Private,,8 ,11 
"CMRIT Bangalore - CMR Institute of Technology, Bangalore",4.3,168, 151-200, Bangalore,Karnataka,Private,,7 ,
"Anurag University - Anurag University, Hyderabad",4.2,7, 151-200, Hyderabad,Telangana,Private,₹1.50 Lakhs,13 ,
"DYPIET Pimpri - Dr DY Patil Institute of Technology, Pune",4.4,65, 151-200, Pune,Maharashtra,Private,₹3.60 Lakhs,9 ,4 
"IIIT Guwahati - Indian Institute of Information Technology, Guwahati",3.9,12, 151-200, Guwahati,Assam,Private,₹11 Lakhs,2 ,3 
"Vignan Institute of Technology and Science, Nalgonda",4.1,55, 151-200, Nalgonda,Telangana,Private,₹4 Lakhs,10 ,4 
"SMVDU Katra - Shri Mata Vaishno Devi University, Katra",3.8,82, 151-200, Katra,Jammu and,Public/Govt,₹6.46 Lakhs,7 ,
"NERIST Nirjuli - North Eastern Regional Institute of Science and Technology, Nirjuli",4.1,13, 151-200, Itanagar,Arunachal Pradesh,Public/Govt,₹66.70 K,6 ,
"Sri Krishna College of Technology, Coimbatore",4.7,56, 151-200, Coimbatore,Tamil Nadu,Private,,11 ,5 
"Sri Ramakrishna Engineering College, Coimbatore",3.9,17, 151-200, Coimbatore,Tamil Nadu,Private,,11 ,6 
"IARE Hyderabad - Institute of Aeronautical Engineering, Dundigal",4.2,62, 151-200, Hyderabad,Telangana,Private,₹4.04 Lakhs,11 ,6 
"Easwari Engineering College, Chennai",4.1,68, 151-200, Chennai,Tamil Nadu,Private,₹2.20 Lakhs,15 ,5 
"YMCA Faridabad - JC Bose University of Science and Technology, YMCA, Faridabad",3.9,290, 151-200, Faridabad,Haryana,Public/Govt,₹3.91 Lakhs,21 ,
"Tezpur University - Tezpur University, Tezpur",4.1,46, 151-200, Tezpur,Assam,Public/Govt,₹2.18 Lakhs,6 ,9 
"YCCE Nagpur - Yeshwantrao Chavan College of Engineering, Nagpur",4.0,40, 151-200, Nagpur,Maharashtra,Private,₹6.94 Lakhs,25 ,7 
"SVCE Sriperumbudur - Sri Venkateswara College of Engineering, Sriperumbudur",4.2,45, 151-200, Kanchipuram,Tamil Nadu,Private,,12 ,9 
"Vardhaman College of Engineering, Hyderabad",4.5,320, 151-200, Hyderabad,Telangana,Private,₹5.60 Lakhs,10 ,5 
"RIT Chennai - Rajalakshmi Institute of Technology, Chennai",4.2,6, 151-200, Chennai,Tamil Nadu,Private,,8 ,
"VIT Pune - Vishwakarma Institute of Technology, Pune",4.2,93, 151-200, Pune,Maharashtra,Private,₹7.68 Lakhs,9 ,
"CVR College of Engineering, Hyderabad",3.9,298, 151-200, Hyderabad,Telangana,Private,,15 ,6 
"NEC Kovilpatti - National Engineering College, Kovilpatti",4.2,21, 151-200, Thoothukudi,Tamil Nadu,Private,₹2.20 Lakhs,7 ,4 
"BMSCE Bangalore - BMS College of Engineering, Bangalore",4.3,65, 151-200, Bangalore,Karnataka,Private,₹10 Lakhs,18 ,13 
"NHCE Bangalore - New Horizon College of Engineering, Bangalore",3.9,43, 151-200, Bangalore,Karnataka,Private,₹12 Lakhs,6 ,
"MANNU Hyderabad - Maulana Azad National Urdu University, Hyderabad",4.8,10, 151-200, Hyderabad,Telangana,Public/Govt,,,
"MMU Mullana - Maharishi Markandeshwar Deemed to be University, Mullana",4.1,78, 151-200, Mullana,Haryana,Private,₹4.35 Lakhs,6 ,
"BSAU Chennai (Crescent) - BS Abdur Rahman Crescent Institute of Science and Technology, Chennai",4.4,78, 151-200, Chennai,Tamil Nadu,Private,₹14.35 Lakhs,30 ,
"VSSUT Sambalpur - Veer Surendra Sai University of Technology, Sambalpur",4.0,113, 151-200, Sambalpur,Odisha,Public/Govt,,10 ,19 
"Sona College of Technology, Salem",4.2,27, 151-200, Salem,Tamil Nadu,Private,,21 ,8 
"CBIT Hyderabad - Chaitanya Bharathi Institute of Technology, Hyderabad",4.3,277, 151-200, Hyderabad,Telangana,Private,₹5.60 Lakhs,13 ,8 
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",4.3,69, 151-200, Pune,Maharashtra,Private,₹7.76 Lakhs,26 ,11 
